floornum,replytime,user,content,liang
1楼,2018/4/21 9:37,东风乱舞,泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？,3548
2楼,2018/4/21 9:37,牛顿说詹在巨人肩膀上,真的想要让老詹场场拿45分才能赢球么，今天又打了42分钟了，又要进攻又要防守还要被对面打死，还想要老詹做什么！！鲈鱼这种教练真是浪费老詹的巅峰,1020
3楼,2018/4/21 9:37,舒槑i楚南,当被防的只有詹姆斯敢运球的时候，这比赛就真的难了，作为骑士球迷看球，领先了也累，落后了也累。,6670
5楼,2018/4/21 9:37,割双眼皮,波格丹诺维奇神了。。,8008
6楼,2018/4/21 9:37,哭脸王,今天的尺度就不评论了，好在球员逆天改命，我只想说Ball Don‘t Lie ！,45
7楼,2018/4/21 9:37,点石宣传部长,看到卢指导的临场指挥，白天倒还好，一到晚上就抑制不住自己的感情，一个人躲在被子里偷偷笑出声来，咱76人组皇室家族有望啦,5568
8楼,2018/4/21 9:37,长胡哈登,博扬-波格丹诺维奇牛B！！！！！！！！！！！本场最佳！！！！！！！！！,467
9楼,2018/4/21 9:37,凯尔特加油,今天奥迪关键时刻的出手选择不太好，远投基本都没进，被包夹出球慢了点，但波日天神仙球真的服了，3+1，运球三分，接奥迪一个甩锅超远三分杀死比赛!,1656
10楼,2018/4/21 9:37,零自然v,防守不行一个赛季来也认了，现在进攻都没有了吗？？？？,16
11楼,2018/4/21 9:37,疯狂伊文戴德蒙,超神博个蛋大战续命詹。。。今天的博个蛋随便吹。。。,27
13楼,2018/4/21 9:37,陈美男滴男友,目测步行者要把湿乎乎打上市~~~~~~~~~~~~~~~~~,766
14楼,2018/4/21 9:37,黄小葵,JR最后一球可惜了，但是不是输在这球！！！,10
15楼,2018/4/21 9:37,楼主姐夫,泰伦卢：今天我们的防守不错，让对手没有过100分。/机智/            自动判断 中文中文(简体)中文(香港)中文(繁体)英语日语朝鲜语德语法语俄语泰语南非语阿拉伯语阿塞拜疆语比利时语保加利亚语加泰隆语捷克语威尔士语丹麦语第维埃语希腊语世界语西班牙语爱沙尼亚语巴士克语法斯语芬兰语法罗语加里西亚语古吉拉特语希伯来语印地语克罗地亚语匈牙利语亚美尼亚语印度尼西亚语冰岛语意大利语格鲁吉亚语哈萨克语卡纳拉语孔卡尼语吉尔吉斯语立陶宛语拉脱维亚语毛利语马其顿语蒙古语马拉地语马来语马耳他语挪威语(伯克梅尔)荷兰语北梭托语旁遮普语波兰语葡萄牙语克丘亚语罗马尼亚语梵文北萨摩斯语斯洛伐克语斯洛文尼亚语阿尔巴尼亚语瑞典语斯瓦希里语叙利亚语泰米尔语泰卢固语塔加路语茨瓦纳语土耳其语宗加语kl@语乌克兰语乌都语乌兹别克语越南语班图语祖鲁语      自动选择 中文中文(简体)中文(香港)中文(繁体)英语日语朝鲜语德语法语俄语泰语南非语阿拉伯语阿塞拜疆语比利时语保加利亚语加泰隆语捷克语威尔士语丹麦语第维埃语希腊语世界语西班牙语爱沙尼亚语巴士克语法斯语芬兰语法罗语加里西亚语古吉拉特语希伯来语印地语克罗地亚语匈牙利语亚美尼亚语印度尼西亚语冰岛语意大利语格鲁吉亚语哈萨克语卡纳拉语孔卡尼语吉尔吉斯语立陶宛语拉脱维亚语毛利语马其顿语蒙古语马拉地语马来语马耳他语挪威语(伯克梅尔)荷兰语北梭托语旁遮普语波兰语葡萄牙语克丘亚语罗马尼亚语梵文北萨摩斯语斯洛伐克语斯洛文尼亚语阿尔巴尼亚语瑞典语斯瓦希里语叙利亚语泰米尔语泰卢固语塔加路语茨瓦纳语土耳其语宗加语kl@语乌克兰语乌都语乌兹别克语越南语班图语祖鲁语     有道翻译 百度翻译 谷歌翻译 谷歌翻译（国内）   翻译    朗读 复制     正在查询，请稍候……    重试      朗读 复制       复制     朗读 复制      via 谷歌翻译（国内）   译 ,617
17楼,2018/4/21 9:37,我叫小肥乐,波格丹诺维奇今天三分表现太神了9中7，詹姆斯第三节表现有点迷，虽然最后发力三个三分也解救不了骑士呀，实话实说这比赛双方判罚有点不平衡，但是这也不是骑士被逆转的主要原因，步行者下半场防守强度上来了，自己进攻也打开了，最后吐槽一下奥迪三分有点铁。,10
18楼,2018/4/21 9:37,柳若渊,步行者应该早点用点球战术,25
